Date_ID,Full_Date,Day,Month,Quarter,Year,Weekday_Name,Is_Weekend
395,2021-01-30,30,1,1,2021,Saturday,True
396,2021-01-31,31,1,1,2021,Sunday,True
397,2021-02-01,1,2,1,2021,Monday,False
398,2021-02-02,2,2,1,2021,Tuesday,False
399,2021-02-03,3,2,1,2021,Wednesday,False
400,2021-02-04,4,2,1,2021,Thursday,False
401,2021-02-05,5,2,1,2021,Friday,False
402,2021-02-06,6,2,1,2021,Saturday,True
403,2021-02-07,7,2,1,2021,Sunday,True
404,2021-02-08,8,2,1,2021,Monday,False
405,2021-02-09,9,2,1,2021,Tuesday,False
406,2021-02-10,10,2,1,2021,Wednesday,False
407,2021-02-11,11,2,1,2021,Thursday,False
408,2021-02-12,12,2,1,2021,Friday,False
409,2021-02-13,13,2,1,2021,Saturday,True
410,2021-02-14,14,2,1,2021,Sunday,True
411,2021-02-15,15,2,1,2021,Monday,False
412,2021-02-16,16,2,1,2021,Tuesday,False
413,2021-02-17,17,2,1,2021,Wednesday,False
414,2021-02-18,18,2,1,2021,Thursday,False
415,2021-02-19,19,2,1,2021,Friday,False
416,2021-02-20,20,2,1,2021,Saturday,True
417,2021-02-21,21,2,1,2021,Sunday,True
418,2021-02-22,22,2,1,2021,Monday,False
419,2021-02-23,23,2,1,2021,Tuesday,False
420,2021-02-24,24,2,1,2021,Wednesday,False
421,2021-02-25,25,2,1,2021,Thursday,False
422,2021-02-26,26,2,1,2021,Friday,False
423,2021-02-27,27,2,1,2021,Saturday,True
424,2021-02-28,28,2,1,2021,Sunday,True
425,2021-03-01,1,3,1,2021,Monday,False
426,2021-03-02,2,3,1,2021,Tuesday,False
427,2021-03-03,3,3,1,2021,Wednesday,False
428,2021-03-04,4,3,1,2021,Thursday,False
429,2021-03-05,5,3,1,2021,Friday,False
430,2021-03-06,6,3,1,2021,Saturday,True
431,2021-03-07,7,3,1,2021,Sunday,True
432,2021-03-08,8,3,1,2021,Monday,False
433,2021-03-09,9,3,1,2021,Tuesday,False
434,2021-03-10,10,3,1,2021,Wednesday,False
435,2021-03-11,11,3,1,2021,Thursday,False
436,2021-03-12,12,3,1,2021,Friday,False
437,2021-03-13,13,3,1,2021,Saturday,True
438,2021-03-14,14,3,1,2021,Sunday,True
439,2021-03-15,15,3,1,2021,Monday,False
440,2021-03-16,16,3,1,2021,Tuesday,False
441,2021-03-17,17,3,1,2021,Wednesday,False
442,2021-03-18,18,3,1,2021,Thursday,False
